0	12136	12085
1	12126	12154
2	12175	12130
3	12178	12081
4	12130	12132
5	12156	12081
6	12155	12146
7	12160	12164
8	12096	12079
9	12176	12108
10	12144	12136
11	12160	12079
12	12165	12137
13	12164	12136
14	12102	12120
15	12095	12108
16	12132	12117
17	12164	12092
18	12089	12147
19	12111	12156
20	12115	12118
21	12142	12152
22	12159	12090
23	12146	12096
24	12126	12083
25	12091	12090
26	12173	12150
27	12104	12114
28	12130	12117
29	12166	12095
30	12085	12155
31	12159	12132
32	12137	12089
33	12102	12146
34	12113	12098
35	12159	12121
36	12093	12096
37	12147	12170
38	12091	12103
39	12091	12120
40	12157	12153
41	12104	12163
42	12091	12096
43	12172	12084
44	12094	12096
45	12138	12129
46	12109	12178
47	12109	12159
48	12091	12172
49	12143	12130
50	12129	12099
51	12090	12160
52	12116	12081
53	12177	12131
54	12102	12154
55	12086	12111
56	12129	12159
57	12132	12079
58	12160	12091
59	12143	12133
60	12105	12096
61	12118	12087
62	12107	12158
63	12091	12170
64	12085	12171
65	12155	12091
66	12139	12138
67	12113	12141
68	12107	12089
69	12146	12130
70	12080	12115
71	12141	12133
72	12130	12086
73	12170	12149
74	12105	12097
75	12099	12104
76	12110	12135
77	12122	12124
78	12143	12132
79	12121	12167
80	12177	12171
81	12125	12085
82	12094	12146
83	12175	12155
84	12173	12090
85	12177	12113
86	12135	12127
87	12118	12134
88	12137	12150
89	12125	12129
90	12149	12079
91	12130	12108
92	12131	12135
93	12168	12086
94	12078	12128
95	12090	12105
96	12162	12103
97	12130	12102
98	12129	12120
99	12153	12078
100	11277	11208
101	11258	11217
102	11242	11253
103	11204	11247
104	11219	11202
105	11204	11273
106	11178	11221
107	11262	11218
108	11196	11250
109	11203	11185
110	11193	11211
111	11271	11214
112	11263	11273
113	11218	11192
114	11189	11211
115	11242	11246
116	11203	11205
117	11222	11178
118	11272	11227
119	11210	11220
120	11195	11234
121	11276	11195
122	11271	11228
123	11191	11186
124	11265	11186
125	11187	11179
126	11267	11193
127	11250	11241
128	11267	11201
129	11178	11194
130	11194	11261
131	11266	11216
132	11269	11212
133	11271	11226
134	11238	11218
135	11238	11179
136	11256	11260
137	11249	11181
138	11251	11206
139	11264	11195
140	11271	11257
141	11264	11227
142	11221	11230
143	11223	11181
144	11269	11232
145	11180	11275
146	11230	11241
147	11227	11236
148	11212	11198
149	11199	11203
150	11192	11206
151	11201	11191
152	11211	11276
153	11239	11269
154	11187	11180
155	11181	11248
156	11189	11259
157	11223	11208
158	11273	11245
159	11260	11199
160	11191	11244
161	11216	11253
162	11220	11246
163	11238	11181
164	11258	11249
165	11236	11197
166	11256	11227
167	11276	11238
168	11224	11239
169	11195	11251
170	11224	11244
171	11233	11218
172	11220	11258
173	11266	11190
174	11183	11228
175	11188	11217
176	11188	11180
177	11264	11248
178	11198	11211
179	11181	11275
180	11200	11273
181	11267	11213
182	11256	11212
183	11265	11178
184	11184	11246
185	11272	11262
186	11226	11181
187	11236	11193
188	11241	11249
189	11199	11235
190	11261	11189
191	11187	11218
192	11252	11258
193	11186	11255
194	11226	11218
195	11221	11243
196	11228	11217
197	11204	11243
198	11216	11272
199	11222	11241
200	18949	18878
201	18946	18901
202	18912	18883
203	18904	18920
204	18911	18881
205	18949	18899
206	18905	18938
207	18923	18947
208	18896	18911
209	18932	18925
210	18915	18889
211	18922	18884
212	18883	18895
213	18877	18861
214	18939	18939
215	18937	18931
216	18879	18913
217	18910	18862
218	18929	18907
219	18885	18903
220	18878	18900
221	18918	18952
222	18902	18943
223	18861	18913
224	18914	18916
225	18950	18868
226	18896	18916
227	18943	18869
228	18881	18940
229	18931	18935
230	18942	18881
231	18904	18944
232	18875	18922
233	18856	18945
234	18933	18878
235	18864	18919
236	18901	18940
237	18931	18862
238	18944	18867
239	18902	18913
240	18877	18913
241	18892	18934
242	18944	18873
243	18950	18864
244	18911	18893
245	18872	18911
246	18948	18946
247	18954	18952
248	18949	18867
