12136	12085
12126	12154
12175	12130
12178	12081
12130	12132
12156	12081
12155	12146
12160	12164
12096	12079
12176	12108
12144	12136
12160	12079
12165	12137
12164	12136
12102	12120
12095	12108
12132	12117
12164	12092
12089	12147
12111	12156
12115	12118
12142	12152
12159	12090
12146	12096
12126	12083
12091	12090
12173	12150
12104	12114
12130	12117
12166	12095
12085	12155
12159	12132
12137	12089
12102	12146
12113	12098
12159	12121
12093	12096
12147	12170
12091	12103
12091	12120
12157	12153
12104	12163
12091	12096
12172	12084
12094	12096
12138	12129
12109	12178
12109	12159
12091	12172
12143	12130
12129	12099
12090	12160
12116	12081
12177	12131
12102	12154
12086	12111
12129	12159
12132	12079
12160	12091
12143	12133
12105	12096
12118	12087
12107	12158
12091	12170
12085	12171
12155	12091
12139	12138
12113	12141
12107	12089
12146	12130
12080	12115
12141	12133
12130	12086
12170	12149
12105	12097
12099	12104
12110	12135
12122	12124
12143	12132
12121	12167
12177	12171
12125	12085
12094	12146
12175	12155
12173	12090
12177	12113
12135	12127
12118	12134
12137	12150
12125	12129
12149	12079
12130	12108
12131	12135
12168	12086
12078	12128
12090	12105
12162	12103
12130	12102
12129	12120
12153	12078
11277	11208
11258	11217
11242	11253
11204	11247
11219	11202
11204	11273
11178	11221
11262	11218
11196	11250
11203	11185
11193	11211
11271	11214
11263	11273
11218	11192
11189	11211
11242	11246
11203	11205
11222	11178
11272	11227
11210	11220
11195	11234
11276	11195
11271	11228
11191	11186
11265	11186
11187	11179
11267	11193
11250	11241
11267	11201
11178	11194
11194	11261
11266	11216
11269	11212
11271	11226
11238	11218
11238	11179
11256	11260
11249	11181
11251	11206
11264	11195
11271	11257
11264	11227
11221	11230
11223	11181
11269	11232
11180	11275
11230	11241
11227	11236
11212	11198
11199	11203
11192	11206
11201	11191
11211	11276
11239	11269
11187	11180
11181	11248
11189	11259
11223	11208
11273	11245
11260	11199
11191	11244
11216	11253
11220	11246
11238	11181
11258	11249
11236	11197
11256	11227
11276	11238
11224	11239
11195	11251
11224	11244
11233	11218
11220	11258
11266	11190
11183	11228
11188	11217
11188	11180
11264	11248
11198	11211
11181	11275
11200	11273
11267	11213
11256	11212
11265	11178
11184	11246
11272	11262
11226	11181
11236	11193
11241	11249
11199	11235
11261	11189
11187	11218
11252	11258
11186	11255
11226	11218
11221	11243
11228	11217
11204	11243
11216	11272
11222	11241
18949	18878
18946	18901
18912	18883
18904	18920
18911	18881
18949	18899
18905	18938
18923	18947
18896	18911
18932	18925
18915	18889
18922	18884
18883	18895
18877	18861
18939	18939
18937	18931
18879	18913
18910	18862
18929	18907
18885	18903
18878	18900
18918	18952
18902	18943
18861	18913
18914	18916
18950	18868
18896	18916
18943	18869
18881	18940
18931	18935
18942	18881
18904	18944
18875	18922
18856	18945
18933	18878
18864	18919
18901	18940
18931	18862
18944	18867
18902	18913
18877	18913
18892	18934
18944	18873
18950	18864
18911	18893
18872	18911
18948	18946
18954	18952
18949	18867
18955	18946
18925	18926
18914	18871
18921	18885
18955	18858
18925	18910
18912	18936
18931	18945
18886	18915
18874	18915
18950	18943
18879	18913
18892	18944
18952	18921
18947	18893
18906	18864
18917	18912
18871	18878
18940	18933
18894	18892
18946	18889
18945	18898
18917	18876
18889	18952
18920	18920
18936	18936
18926	18879
18909	18876
18858	18872
18884	18874
18898	18894
18884	18928
18936	18953
18956	18932
18873	18926
18909	18890
18876	18938
18911	18922
18914	18878
18871	18887
18937	18900
18896	18911
18880	18909
18915	18877
18877	18942
18951	18934
18942	18927
18937	18905
18884	18942
18912	18874
18934	18866
2292	2252
2242	2275
2280	2278
2310	2262
2269	2290
2234	2241
2251	2243
2307	2256
2303	2272
2266	2306
2267	2275
2285	2270
2252	2284
2270	2305
2252	2251
2291	2263
2237	2293
2267	2266
2308	2297
2277	2264
2236	2311
2312	2308
2274	2230
2263	2251
2278	2238
2248	2239
2310	2279
2233	2262
2225	2228
2295	2229
2275	2250
2260	2243
2288	2289
2236	2314
2242	2318
2262	2246
2283	2223
2312	2295
2306	2293
2318	2304
2244	2253
2259	2223
2304	2225
2262	2271
2304	2243
2318	2268
2281	2233
2310	2318
2289	2287
2230	2318
2255	2268
2270	2304
2242	2255
2288	2303
2305	2312
2262	2248
2282	2274
2236	2261
2296	2238
2241	2269
2260	2258
2306	2295
2292	2285
2302	2265
2230	2300
2283	2300
2251	2240
2262	2287
2225	2244
2233	2270
2311	2314
2262	2316
2270	2253
2321	2316
2223	2297
2317	2245
2235	2290
2251	2227
2294	2247
2272	2257
2242	2304
2311	2279
2272	2294
2288	2269
2230	2227
2258	2272
2302	2307
2227	2275
2232	2247
2273	2272
2272	2289
2237	2235
2286	2255
2306	2239
2281	2282
2250	2282
2255	2285
2319	2298
2311	2268
2273	2305
